gamma,epsilon,time,iterations,reward
0.1,0.01,0.0005030632019042969,1.0,0.3333333333333333
0.1,1e-05,0.0002796649932861328,4.0,0.3452345679012345
0.1,1e-08,0.0004279613494873047,7.0,0.34523902560585273
0.1,1e-12,0.0006029605865478516,11.0,0.34523902800750506
0.3,0.01,0.00020003318786621094,3.0,0.3733333333333333
0.3,1e-05,0.00046181678771972656,8.0,0.3751011333333333
0.3,1e-08,0.0007297992706298828,13.0,0.37510280006799995
0.3,1e-12,0.0010480880737304688,20.0,0.3751028020924122
0.6,0.01,0.0002911090850830078,6.0,0.44511999999999996
0.6,1e-05,0.0007328987121582031,17.0,0.44764703969771513
0.6,1e-08,0.0012421607971191406,29.0,0.44764929796210945
0.6,1e-12,0.0018417835235595703,46.0,0.4476493000563738
0.9,0.01,0.0009369850158691406,26.0,0.6375395830635081
0.9,1e-05,0.002749919891357422,77.0,0.6390188071448295
0.9,1e-08,0.004041194915771484,128.0,0.6390201468190303
0.9,1e-12,0.0060231685638427734,195.0,0.6390201481184682
